"POLICY_Name","POLICY_Link","POLICY_url","POLICY_YearPublish","POLICY_Type","POLICY_Description","STATE_Abbr","POLICY_Sector","STATE_Name","POLICY_abbr"
"EO S-3-05","California+Executive+Order+S-3-05+(June+2005).pdf (squarespace.com)","https://static1.squarespace.com/static/549885d4e4b0ba0bff5dc695/t/54d7f1e0e4b0f0798cee3010/1423438304744/California+Executive+Order+S-3-05+(June+2005).pdf","2005","Executive Order","GHG emission targets for 2010, 2020, and 2050.","CA","Cross-sector","California","hover_cross"
"SB 32","Bill Text - SB-32 California Global Warming Solutions Act of 2006: emissions limit.","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB32","2016","Legislation","Extends AB 32 (The Global Warming Solutions Act, 2006).","CA","Cross-sector","California","hover_cross"
"Low Carbon Fuel Standard (LCFS)","Low Carbon Fuel Standard | California Air Resources Board","https://ww2.arb.ca.gov/our-work/programs/low-carbon-fuel-standard","2009","","Executive Order S-1-07. 10% reduction in the carbon intensity of transportation fuels by 2020 and 20% reduction by 2030.","CA","Transportation","California","hover_transportation"
"CA ZEV Mandate","Zero-Emission Vehicle Program | California Air Resources Board","https://ww2.arb.ca.gov/our-work/programs/zero-emission-vehicle-program","1990","","","CA","Transportation","California","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Low-Emission Vehicle (LEV III) Program | California Air Resources Board","https://ww2.arb.ca.gov/our-work/programs/advanced-clean-cars-program/lev-program/low-emission-vehicle-lev-iii-program","1990","","","CA","Transportation","California","hover_transportation"
"CA ZEV Mandate","Zero Emission Vehicles | Colorado Energy Office","https://energyoffice.colorado.gov/zero-emission-vehicles","2019","","Colorado is slated to begin implementation in 2023.","CO","Transportation","Colorado","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Low Emission Vehicle Standards | Department of Public Health & Environment (colorado.gov)","https://cdphe.colorado.gov/motor-vehicle-emissions/low-emission-vehicle-standards","2018","","","CO","Transportation","Colorado","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","ecopyreg6126pdf.pdf (ct.gov)","https://portal.ct.gov/-/media/sots/regulations/recentlyadopted/ecopyreg6126pdf.pdf?la=en","2013","","","CT","Transportation","Connecticut","hover_transportation"
"CA ZEV Mandate","","","2013","","Requires increasing production of plug-in hybrid, battery electric, and fuel cell vehicles from 2018 to 2025.","CT","Transportation","Connecticut","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","1140 Delaware Low Emission Vehicle Program","https://regulations.delaware.gov/AdminCode/title7/1000/1100/1140.shtml","2013","","","DE","Transportation","Delaware","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","levfrorev (maine.gov)","https://www.maine.gov/sos/cec/rules/06/096/096c127a.pdf","2012","","","ME","Transportation","Maine","hover_transportation"
"CA ZEV Mandate","","","2013","","","ME","Transportation","Maine","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Maryland Clean Cars Program","https://mde.maryland.gov/programs/Air/MobileSources/Pages/CleanCars.aspx","2012","","","MD","Transportation","Maryland","hover_transportation"
"CA ZEV Mandate","","","2013","","","MD","Transportation","Maryland","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Massachusetts Low Emission Vehicle (LEV) Program | Mass.gov","https://www.mass.gov/guides/massachusetts-low-emission-vehicle-lev-program","2014","","","MA","Transportation","Massachusetts","hover_transportation"
"CA ZEV Mandate","","","2013","","","MA","Transportation","Massachusetts","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","DEP Letterhead (nj.gov)","https://www.nj.gov/dep/cleanvehicles/LEV.pdf","2004","","","NJ","Transportation","New Jersey","hover_transportation"
"CA ZEV Mandate","","","2013","","","NJ","Transportation","New Jersey","hover_transportation"
"LEV Standard for LDVs Adopted or In Process","Light-Duty Low and Zero Emission Vehicles - NYS Dept. of Environmental Conservation","https://www.dec.ny.gov/chemical/8575.html#:~:text=The%20NYS%20LEV%20program%20requires,monoxide%2C%20and%20oxides%20of%20nitrogen.","1990","","","NY","Transportation","New York","hover_transportation"
