State_Abbr,Target_Date_1,Target_Info_1,Target_Date_2,Target_Info_2,State_Name,About
AZ,,,Post 2030,50% below 2000 levels by 2040,Arizona,AZ
CA,2025-2030,40% below 1990 levels by 2030,Post 2030,100% by 2045,California,CA
CO,2025-2030,50% below 2005 levels by 2030,Post 2030,90% below 2005 levels by 2050,Colorado,CO
CT,2025-2030,45% below 2001 levels by 2030,Post 2030,80% below 2001 levels by 2050,Connecticut,CT
DE,2025-2030,28% below 2005 levels by 2025,,,Delaware,DE
FL,2025-2030,0% below 1990 levels by 2025,Post 2030,80% below 1990 levels by 2050,Florida,FL
HI,,,Post 2030,100% by 2045,Hawaii,HI
IL,2025-2030,28% below 2005 levels by 2025,Post 2030,60% below 1990 levels by 2050,Illinois,IL
LA,2025-2030,50% below 2005 levels by 2030,Post 2030,100% by 2050,Louisiana,LA
MA,,,Post 2030,80% below 1990 levels by 2050,Massachusetts,MA
MD,2025-2030,40% below 2006 levels by 2030,Post 2030,95% below 2006 levels by 2050,Maryland,MD
ME,2025-2030,45% below 1990 levels by 2030,Post 2030,100% by 2045,Maine,ME
MI,2025-2030,28% below 2005 levels by 2025,Post 2030,100% by 2050,Michigan,MI
MN,2025-2030,30% below 2005 levels by 2025,Post 2030,80% below 2005 levels by 2050,Minnesota,MN
MT,,,Post 2030,100% by 2050,Montana,MT
NV,2025-2030,45% below 2005 levels by 2030,Post 2030,100% by 2050,Nevada,NV
NH,2025-2030,20% below 1990 levels by 2025,Post 2030,80% below 1990 levels by 2050,New Hampshire,NH
NJ,,,Post 2030,80% below 2006 levels by 2050,New Jersey,NJ
NM,2025-2030,45% below 2005 levels by 2030,,,New Mexico,NM
NY,2025-2030,40% below 1990 levels by 2030,Post 2030,100% by 2050 (85% below 1990 levels and offset 15%),New York,NY
NC,2025-2030,40% below 2005 levels by 2025,,,North Carolina,NC
OR,,,Post 2030,80% below 1990 levels by 2050,Oregon,OR
PA,2025-2030,28% below 2005 levels by 2025,Post 2030,80% below 2005 levels by 2050,Pennsylvannia,PA
RI,,,Post 2030,80% below 1990 levels by 2050,Rhode Island,RI
VT,2025-2030,40% below 1990 levels by 2030,Post 2030,80% below 1990 levels by 2050,Vermont,VT
VA,,,Post 2030,100% by 2045,Virginia,VA
WA,2025-2030,45% below 1990 levels by 2030,Post 2030,100% by 2050,Washington,WA
AL,,,,,Alabama,Alabama
AK,,,,,Alaska,Alaska
AR,,,,,Arkansas,Arkansas
GA,,,,,Georgia,Georgia
ID,,,,,Idaho,Idaho
IN,,,,,Indiana,Indiana
IA,,,,,Iowa,Iowa
KS,,,,,Kansas,Kansas
KY,,,,,Kentucky,Kentucky
MS,,,,,Mississippi,Mississippi
MO,,,,,Missouri,Missouri
NE,,,,,Nebraska,Nebraska
ND,,,,,North Dakota,North Dakota
OH,,,,,Ohio,Ohio
OK,,,,,Oklahoma,Oklahoma
SC,,,,,South Carolina,South Carolina
SD,,,,,South Dakota,South Dakota
TN,,,,,Tennessee,Tennessee
TX,,,,,Texas,Texas
UT,,,,,Utah,Utah
WV,,,,,West Virginia,West Virginia
WI,,,,,Wisconsin,Wisconsin
WY,,,,,Wyoming,Wyoming
PR,,,,,Puerto Rico,Puerto Rico
GU,,,,,Guam,Guam
NMI,,,,,Northern Mariana Islands,Northern Mariana Islands
VI,,,,,Virgin Islands,Virgin Islands
AS,,,,,American Samoa,American Samoa
DC,,,,,District of Columbia,DC
